FID,Street,SHAPE_Leng,Lat,Long
0,7 AVENUE SOUTH,186.0493812,40.73506988,-74.00197135
1,7 AVENUE SOUTH,186.0493812,40.73553459,-74.00169304
2,CHARLES STREET,333.8583418,40.73506988,-74.00197135
3,CHARLES STREET,333.8583418,40.73505409,-74.0020788
4,7 AVENUE,264.8370523,40.73722953,-74.00064726
5,7 AVENUE,264.8370523,40.73786494,-74.00018309
6,GREENWICH AVENUE,181.3804938,40.73767493,-74.00176798
7,GREENWICH AVENUE,181.3804938,40.73784765,-74.0018681
8,CHARLES STREET,111.995823,40.73512781,-74.00157447
9,CHARLES STREET,111.995823,40.73506988,-74.00197135
10,GREENWICH AVENUE,202.9504601,40.73716857,-74.00146275
11,GREENWICH AVENUE,202.9504601,40.73767493,-74.00176798
12,AVENUE OF THE AMERICAS,255.3258781,40.73231522,-74.00051066
13,AVENUE OF THE AMERICAS,255.3258781,40.73292924,-74.00006658
14,WEST 16 STREET,900.7648456,40.73988088,-73.99871271
15,WEST 16 STREET,900.7648456,40.74060331,-74.00042521
16,10 AVENUE,257.2012312,40.75525176,-73.99866067
17,10 AVENUE,257.2012312,40.75587038,-73.9982134
18,WEST 17 STREET,900.4939798,40.74046982,-73.99828702
19,WEST 17 STREET,900.4939798,40.74119341,-74.00000324
20,LINCOLN TUNNEL ENTRANCE,74.47726747,40.75778916,-73.9968009
21,LINCOLN TUNNEL ENTRANCE,74.47726747,40.75793739,-73.99698602
22,WEST 33 STREET,19.06077096,40.75344191,-73.99850459
23,WEST 33 STREET,19.06077096,40.75346752,-73.99856458
24,WEST 8 STREET,497.7528874,40.73294599,-73.99798671
25,WEST 8 STREET,497.7528874,40.7336106,-73.99955589
26,WEST 12 STREET,899.1365803,40.73603591,-73.99780751
27,WEST 12 STREET,899.1365803,40.73722953,-74.00064726
28,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75504559,-73.99509843
29,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75499973,-73.9951611
30,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75496201,-73.9952362
31,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75493509,-73.99532069
32,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75492072,-73.99541032
33,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75491929,-73.99550029
34,LINCOLN TUNNEL ENTRANCE,148.8175731,40.75492992,-73.99558614
35,WEST 39 STREET,46.76332407,40.75705909,-73.99526204
36,WEST 39 STREET,46.76332407,40.75711889,-73.9954114
37,WASHINGTON SQUARE EAST,261.0941693,40.72955223,-73.99657215
38,WASHINGTON SQUARE EAST,261.0941693,40.73015526,-73.99606315
39,WASHINGTON SQUARE EAST,261.0941693,40.72955223,-73.99657215
40,WASHINGTON SQUARE EAST,261.0941693,40.73015526,-73.99606315
41,LINCOLN TUNNEL EXIT,146.4226946,40.75669211,-73.99577441
42,LINCOLN TUNNEL EXIT,146.4226946,40.75668277,-73.99569184
43,LINCOLN TUNNEL EXIT,146.4226946,40.75668925,-73.99560336
