name,hex,r,g,b,h,s,v,l,a,b
abbey,#4c4f56,76,79,86,222,12,34,33.56358131112071,0.4044649492006003,-4.529732626423677
absolute zero,#0048ba,0,72,186,217,100,73,34.354774685163974,27.939728965661214,-64.80626500455371
acadia,#1b1404,27,20,4,42,85,11,6.703232326385951,0.7673069719240644,8.411412478495489
acapulco,#7cb0a1,124,176,161,163,30,69,67.9534647753494,-20.415665736095935,2.1793445713057302
acid green,#b0bf1a,176,191,26,65,86,75,73.91149216199304,-23.384431641325254,71.14805456107275
aero,#7cb9e8,124,185,232,206,47,91,72.76608557964833,-7.211733195211956,-29.560577304029678
aero blue,#c9ffe5,201,255,229,151,21,100,95.82837522633756,-22.063834840557295,6.848799326397725
affair,#714693,113,70,147,274,52,58,37.838144891307735,33.66341740442405,-35.53118764561013
african violet,#b284be,178,132,190,288,31,75,61.38165910299422,27.90542693053061,-23.46590389723677
air force blue,#00308f,0,48,143,220,100,56,23.989805666316137,26.88067156404464,-55.85996113022495
air superiority blue,#72a0c1,114,160,193,205,41,76,63.810619985551554,-6.879362287053937,-21.872241543476378
akaroa,#d4c4a8,212,196,168,38,21,83,79.78655481944433,1.138353479167853,16.097207184994833
alabama crimson,#af002a,175,0,42,346,100,69,36.52002189431107,61.26790059663134,29.957237720749717
alabaster,#fafafa,250,250,250,0,0,98,98.27202360073487,0.0051821377188843165,-0.010253140583760256
albescent white,#f5e9d3,245,233,211,39,14,96,92.74823666546841,0.4792872975729612,12.139218455053125
algae green,#93dfb8,147,223,184,149,34,87,83.14637496762023,-31.76549364655856,11.73976064893374
alice blue,#f0f8ff,240,248,255,208,6,100,97.17890760827636,-1.343097952598571,-4.273119139608905
alien armpit,#84de02,132,222,2,85,99,87,80.2652744941117,-54.3561702452649,78.1805623039646
alizarin crimson,#e32636,227,38,54,355,83,89,49.476042283622505,69.33046824098543,40.23492072035363
alloy orange,#c46210,196,98,16,27,92,77,52.40736930214352,34.73973071326147,57.444890136245405
allports,#0076a3,0,118,163,197,100,64,46.446881414555804,-10.963813891140983,-31.862702671547027
almond,#efdecd,239,222,205,30,14,94,89.39348739189694,3.061714391510151,10.423734275566687
almond frost,#907b71,144,123,113,19,22,56,53.26268123652275,6.413103517348862,8.456004098692627
alpine,#af8f2c,175,143,44,45,75,69,60.72928512424359,1.7897252369197258,54.14438785965764
alto,#dbdbdb,219,219,219,0,0,86,87.40603610161054,0.004689374556887671,-0.009278181937721897
aluminium,#a9acb6,169,172,182,226,7,71,70.39777095838816,0.905622291855257,-5.488716313929332
amaranth,#e52b50,229,43,80,348,81,90,50.646179273646965,69.82955165268018,26.43537830325914
amaranth pink,#f19cbb,241,156,187,338,35,95,73.5880563905509,35.82089656462717,-2.7593707081293495
amaranth purple,#ab274f,171,39,79,342,77,67,39.024990631067475,54.82455086525648,9.529487196224007
amaranth red,#d3212d,211,33,45,356,84,83,45.80637137139158,65.81579856069908,40.45158364091763
amazon,#3b7a57,59,122,87,147,52,48,46.3610837422509,-29.01085065701109,13.081364295847731
